City_ID,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Current Description
51,Hermanus,ZA,2022-07-20 13:55:04,-34.4187,19.2345,59.81,61,3,7.25,clear sky
52,Kieta,PG,2022-07-20 13:55:04,-6.2167,155.6333,78.4,83,100,5.06,overcast clouds
53,Busselton,AU,2022-07-20 13:55:05,-33.65,115.3333,64.2,80,100,13.89,overcast clouds
54,Barrow,US,2022-07-20 13:55:05,71.2906,-156.7887,36.77,94,38,8.75,scattered clouds
55,Thabazimbi,ZA,2022-07-20 13:55:05,-24.5917,27.4116,62.92,53,100,5.03,overcast clouds
56,Evanston,US,2022-07-20 13:54:39,42.0411,-87.6901,82.24,73,0,4.0,clear sky
57,Longyearbyen,SJ,2022-07-20 13:55:06,78.2186,15.6401,51.64,82,75,14.97,broken clouds
58,Kupang,ID,2022-07-20 13:55:06,-10.1667,123.5833,75.29,81,47,13.65,scattered clouds
59,Puerto Ayora,EC,2022-07-20 13:55:07,-0.7393,-90.3518,67.55,99,95,5.01,overcast clouds
60,Ust-Kulom,RU,2022-07-20 13:55:07,61.6864,53.6902,66.36,62,100,3.0,overcast clouds
61,Bluff,NZ,2022-07-20 13:55:07,-46.6,168.3333,41.81,71,76,5.35,broken clouds
62,Ouesso,CG,2022-07-20 13:55:08,1.6136,16.0517,86.41,55,65,1.92,light rain
63,Upernavik,GL,2022-07-20 13:55:08,72.7868,-56.1549,47.23,72,53,4.76,broken clouds
64,Butaritari,KI,2022-07-20 13:55:08,3.0707,172.7902,80.92,82,100,11.65,moderate rain
65,Torbay,CA,2022-07-20 13:55:09,47.6666,-52.7314,70.57,81,75,27.63,broken clouds
66,Young,UY,2022-07-20 13:55:09,-32.6833,-57.6333,58.01,74,0,8.21,clear sky
67,Praya,CV,2022-07-20 13:55:09,14.9215,-23.5087,82.94,69,20,8.05,few clouds
68,Mabaruma,GY,2022-07-20 13:55:09,8.2,-59.7833,78.57,94,100,3.02,overcast clouds
69,Yeppoon,AU,2022-07-20 13:51:06,-23.1333,150.7333,62.38,81,100,16.64,overcast clouds
70,Tuatapere,NZ,2022-07-20 13:55:10,-46.1333,167.6833,41.95,87,100,1.72,overcast clouds
71,Albany,US,2022-07-20 13:53:58,42.6001,-73.9662,83.79,72,8,6.04,clear sky
72,Georgetown,MY,2022-07-20 13:52:27,5.4112,100.3354,84.15,78,20,5.99,few clouds
73,Cherskiy,RU,2022-07-20 13:55:10,68.75,161.3,36.97,86,100,10.96,overcast clouds
74,Atambua,ID,2022-07-20 13:55:11,-9.1061,124.8925,69.85,89,19,4.52,few clouds
75,La Ronge,CA,2022-07-20 13:55:11,55.1001,-105.2842,61.05,59,20,14.97,few clouds
76,Nanortalik,GL,2022-07-20 13:55:12,60.1432,-45.2371,51.19,87,90,14.36,overcast clouds
77,Haverfordwest,GB,2022-07-20 13:55:12,51.8017,-4.9691,65.05,71,94,5.01,overcast clouds
78,Igarka,RU,2022-07-20 13:55:12,67.4667,86.5833,48.97,95,100,6.71,overcast clouds
79,Sinnamary,GF,2022-07-20 13:55:12,5.3833,-52.95,82.56,69,28,6.8,scattered clouds
